Band:0, Mean: 2957.363472057075, Median: 2780.0, Std Deviation: 354.910267391568, Min: 2560, Max: 4536, Percentile: [2602. 2780. 3179.] 
Band:30, Mean: 3504.638906064209, Median: 3224.0, Std Deviation: 888.785405594273, Min: 2272, Max: 6366, Percentile: [2695. 3224. 4270.] 
Band:31, Mean: 3224.4300594530323, Median: 2915.0, Std Deviation: 909.9412614721266, Min: 2013, Max: 6722, Percentile: [2435. 2915. 4053.] 
Band:32, Mean: 3511.5364565992863, Median: 3228.0, Std Deviation: 897.9426673939514, Min: 2165, Max: 6897, Percentile: [2699. 3228. 4287.] 
Band:33, Mean: 3948.562235434007, Median: 3956.0, Std Deviation: 853.0529232331485, Min: 2364, Max: 7182, Percentile: [3159. 3956. 4607.] 
Band:34, Mean: 4173.646468489893, Median: 4185.0, Std Deviation: 654.6104760090889, Min: 2359, Max: 6941, Percentile: [3844. 4185. 4587.] 
Band:35, Mean: 4445.024209274673, Median: 4456.0, Std Deviation: 401.3931294384637, Min: 2400, Max: 6729, Percentile: [4217. 4456. 4683.] 
Band:36, Mean: 5309.7425921522, Median: 5315.0, Std Deviation: 507.04930501151705, Min: 2588, Max: 7591, Percentile: [5021. 5315. 5600.] 
Band:37, Mean: 5950.96142687277, Median: 5877.0, Std Deviation: 720.9534296934767, Min: 2723, Max: 8611, Percentile: [5499. 5877. 6387.] 
Band:38, Mean: 5937.520760998811, Median: 5812.0, Std Deviation: 807.162585887438, Min: 2675, Max: 9604, Percentile: [5416. 5812. 6432.] 
Band:39, Mean: 4137.620214030916, Median: 4096.0, Std Deviation: 644.5595906457481, Min: 2127, Max: 6119, Percentile: [3834. 4096. 4525.] 
Band:40, Mean: 6093.512485136742, Median: 5933.0, Std Deviation: 884.4441199054479, Min: 2672, Max: 9219, Percentile: [5520. 5933. 6636.] 
Band:41, Mean: 6213.161617122473, Median: 6050.0, Std Deviation: 907.5217559346167, Min: 2878, Max: 9360, Percentile: [5621. 6050. 6770.] 
Band:42, Mean: 5954.216123662307, Median: 5807.0, Std Deviation: 854.1003186332233, Min: 2723, Max: 8963, Percentile: [5394. 5807. 6477.] 
Band:43, Mean: 5888.866159334126, Median: 5741.0, Std Deviation: 838.2246063103441, Min: 2676, Max: 8817, Percentile: [5336. 5741. 6406.] 
Band:44, Mean: 5472.718097502972, Median: 5352.0, Std Deviation: 761.2930296616163, Min: 2576, Max: 8232, Percentile: [4980. 5352. 5937.] 
Band:45, Mean: 5015.5825921522, Median: 4910.0, Std Deviation: 685.083562704008, Min: 2461, Max: 7417, Percentile: [4575. 4910. 5427.] 
Band:46, Mean: 5320.303781212842, Median: 5216.0, Std Deviation: 724.9309968802432, Min: 2568, Max: 7874, Percentile: [4846. 5216. 5764.] 
Band:47, Mean: 5747.7774078478005, Median: 5627.0, Std Deviation: 789.1635978217262, Min: 2674, Max: 8576, Percentile: [5228. 5627. 6232.] 
Band:48, Mean: 5670.194577883472, Median: 5550.0, Std Deviation: 776.8182764486068, Min: 2597, Max: 8359, Percentile: [5158. 5550. 6142.] 
Band:49, Mean: 5679.593864447087, Median: 5562.0, Std Deviation: 772.5735648492338, Min: 2572, Max: 8451, Percentile: [5170. 5562. 6153.] 
Band:50, Mean: 5610.726040428061, Median: 5502.0, Std Deviation: 757.2763158196908, Min: 2590, Max: 8275, Percentile: [5114. 5502. 6077.] 
Band:51, Mean: 5643.016551724138, Median: 5535.0, Std Deviation: 755.2242469454462, Min: 2560, Max: 8355, Percentile: [5146. 5535. 6105.] 
Band:52, Mean: 5530.715862068965, Median: 5432.0, Std Deviation: 728.5245278371925, Min: 2484, Max: 8153, Percentile: [5054. 5432. 5977.] 
Band:53, Mean: 4549.849988109394, Median: 4490.0, Std Deviation: 606.0766928886981, Min: 2157, Max: 6590, Percentile: [4196. 4490. 4912.] 
Band:54, Mean: 4333.3939595719385, Median: 4297.0, Std Deviation: 591.0710429215745, Min: 2084, Max: 6256, Percentile: [4021. 4297. 4685.] 
Band:55, Mean: 4228.815457788347, Median: 4205.0, Std Deviation: 580.199938476098, Min: 2038, Max: 6065, Percentile: [3936. 4205. 4576.] 
Band:56, Mean: 3666.591153388823, Median: 3766.0, Std Deviation: 608.1345962928775, Min: 1898, Max: 5355, Percentile: [3185. 3766. 4075.] 
Band:57, Mean: 2324.1380737217596, Median: 2306.0, Std Deviation: 180.35051302068572, Min: 1419, Max: 2969, Percentile: [2206. 2306. 2437.] 
Band:58, Mean: 2476.998525564804, Median: 2460.0, Std Deviation: 195.54265223842395, Min: 1458, Max: 3160, Percentile: [2349. 2460. 2601.] 
Band:59, Mean: 2703.668680142687, Median: 2689.0, Std Deviation: 212.90660142113472, Min: 1540, Max: 3327, Percentile: [2569. 2689. 2844.] 
Band:60, Mean: 3207.183495838288, Median: 3189.0, Std Deviation: 489.4118530987313, Min: 1715, Max: 4613, Percentile: [2726. 3189. 3673.] 
Band:61, Mean: 3998.3614268727706, Median: 4029.0, Std Deviation: 485.3138722053183, Min: 1860, Max: 5425, Percentile: [3809. 4029. 4299.] 
Band:62, Mean: 4511.952675386445, Median: 4501.0, Std Deviation: 481.8854521163014, Min: 2004, Max: 6155, Percentile: [4251. 4501. 4816.] 
Band:63, Mean: 4805.783400713436, Median: 4778.0, Std Deviation: 494.89702492994564, Min: 2044, Max: 6619, Percentile: [4511. 4778. 5128.] 
Band:64, Mean: 4710.512485136742, Median: 4686.0, Std Deviation: 501.77261190044646, Min: 2019, Max: 6488, Percentile: [4420. 4686. 5033.] 
Band:65, Mean: 4733.814078478003, Median: 4701.0, Std Deviation: 508.6854680540879, Min: 2032, Max: 6543, Percentile: [4434. 4701. 5060.] 
Band:66, Mean: 4678.1452080856125, Median: 4644.0, Std Deviation: 517.3167299450893, Min: 2028, Max: 6499, Percentile: [4379. 4644. 5008.] 
Band:67, Mean: 4660.0138882283, Median: 4623.0, Std Deviation: 526.3472376663827, Min: 2017, Max: 6517, Percentile: [4357. 4623. 4991.] 
Band:68, Mean: 4616.58401902497, Median: 4582.0, Std Deviation: 531.1493136852558, Min: 2018, Max: 6472, Percentile: [4313. 4582. 4947.] 
Band:69, Mean: 4579.714340071344, Median: 4543.0, Std Deviation: 534.4213694812502, Min: 2010, Max: 6445, Percentile: [4280. 4543. 4914.] 
Band:70, Mean: 4440.078097502973, Median: 4407.0, Std Deviation: 528.1802939469246, Min: 1949, Max: 6255, Percentile: [4154. 4407. 4767.] 
Band:71, Mean: 4354.622877526754, Median: 4326.0, Std Deviation: 518.5804783015166, Min: 1949, Max: 6107, Percentile: [4080. 4326. 4675.] 
Band:72, Mean: 4264.651082045184, Median: 4240.0, Std Deviation: 513.6322033800135, Min: 1892, Max: 5948, Percentile: [4005. 4240. 4583.] 
Band:73, Mean: 4067.803757431629, Median: 4069.0, Std Deviation: 517.3052369916021, Min: 1865, Max: 5672, Percentile: [3849. 4069. 4386.] 
Band:74, Mean: 3385.067633769322, Median: 3600.0, Std Deviation: 576.5539862942248, Min: 1700, Max: 4941, Percentile: [2761. 3600. 3861.] 
Band:75, Mean: 2911.013127229489, Median: 2909.0, Std Deviation: 226.44030602767373, Min: 1542, Max: 3920, Percentile: [2770. 2909. 3069.] 
Band:76, Mean: 1784.054601664685, Median: 1780.0, Std Deviation: 93.55164338171303, Min: 1222, Max: 2182, Percentile: [1728. 1780. 1842.] 
Band:77, Mean: 1612.428109393579, Median: 1611.0, Std Deviation: 68.58667172303035, Min: 1177, Max: 1936, Percentile: [1571. 1611. 1657.] 
Band:78, Mean: 1882.9587633769322, Median: 1881.0, Std Deviation: 95.28947704281849, Min: 1248, Max: 2377, Percentile: [1825. 1881. 1945.] 
Band:79, Mean: 1784.5599048751487, Median: 1787.0, Std Deviation: 80.6385575904259, Min: 1202, Max: 2319, Percentile: [1736. 1787. 1836.] 
Band:80, Mean: 2286.3408799048752, Median: 2291.0, Std Deviation: 134.02340681749934, Min: 1329, Max: 3204, Percentile: [2203. 2291. 2371.] 
Band:81, Mean: 2850.156052318668, Median: 2860.0, Std Deviation: 193.0253217562727, Min: 1430, Max: 4206, Percentile: [2729. 2860. 2977.] 
Band:82, Mean: 2950.805897740785, Median: 2972.0, Std Deviation: 200.33590660519064, Min: 1507, Max: 4469, Percentile: [2823. 2972. 3099.] 
Band:83, Mean: 2934.4829964328183, Median: 2953.0, Std Deviation: 200.97122257435493, Min: 1474, Max: 4471, Percentile: [2803. 2953. 3082.] 
Band:84, Mean: 2980.2227824019024, Median: 3007.0, Std Deviation: 212.44827289426027, Min: 1496, Max: 4660, Percentile: [2841. 3007. 3143.] 
Band:85, Mean: 2961.2585493460165, Median: 2984.0, Std Deviation: 208.08542910026378, Min: 1464, Max: 4651, Percentile: [2825. 2984. 3120.] 
Band:86, Mean: 3003.9229488703922, Median: 3039.0, Std Deviation: 229.5783704214808, Min: 1445, Max: 4856, Percentile: [2848. 3039. 3180.] 
Band:87, Mean: 3007.348109393579, Median: 3052.0, Std Deviation: 272.07020734713734, Min: 1478, Max: 5002, Percentile: [2769. 3052. 3206.] 
Band:88, Mean: 3011.804661117717, Median: 3048.0, Std Deviation: 318.9150811004455, Min: 1472, Max: 5198, Percentile: [2707. 3048. 3228.] 
Band:89, Mean: 3002.5575267538643, Median: 3042.0, Std Deviation: 311.78228300190995, Min: 1479, Max: 5190, Percentile: [2699. 3042. 3219.] 
Band:90, Mean: 3010.421688466112, Median: 3051.0, Std Deviation: 242.51353510997427, Min: 1451, Max: 4967, Percentile: [2837. 3051. 3196.] 
Band:91, Mean: 2807.6693935790727, Median: 2821.0, Std Deviation: 192.71958533313602, Min: 1392, Max: 4444, Percentile: [2686. 2821. 2936.] 
Band:92, Mean: 2868.8942211652793, Median: 2883.0, Std Deviation: 198.10865450352546, Min: 1407, Max: 4620, Percentile: [2743. 2883. 3005.] 
Band:93, Mean: 2973.1443043995246, Median: 2995.0, Std Deviation: 213.6027212593306, Min: 1423, Max: 4894, Percentile: [2833. 2995. 3140.] 
Band:94, Mean: 2811.018644470868, Median: 2826.0, Std Deviation: 194.0569337607188, Min: 1346, Max: 4296, Percentile: [2691. 2826. 2938.] 
Band:95, Mean: 2955.587063020214, Median: 2984.0, Std Deviation: 205.3871392038741, Min: 1386, Max: 4580, Percentile: [2828. 2984. 3108.] 
Band:96, Mean: 2941.278049940547, Median: 2961.0, Std Deviation: 205.60120762402846, Min: 1380, Max: 4563, Percentile: [2810. 2961. 3097.] 
Band:97, Mean: 2777.177883472057, Median: 2780.0, Std Deviation: 196.52719855646578, Min: 1344, Max: 4184, Percentile: [2651. 2780. 2916.] 
Band:98, Mean: 2480.2835196195006, Median: 2477.0, Std Deviation: 174.08239700892585, Min: 1305, Max: 3663, Percentile: [2367. 2477. 2604.] 
Band:99, Mean: 2257.6337693222354, Median: 2247.0, Std Deviation: 159.02719456096224, Min: 1254, Max: 3269, Percentile: [2149. 2247. 2378.] 
Band:100, Mean: 1823.7354577883473, Median: 1813.0, Std Deviation: 117.73508920564042, Min: 1169, Max: 2511, Percentile: [1736. 1813. 1918.] 
Band:101, Mean: 1535.1731272294887, Median: 1525.0, Std Deviation: 83.99104074776223, Min: 1107, Max: 2003, Percentile: [1470. 1525. 1606.] 
Band:102, Mean: 1087.862877526754, Median: 1086.0, Std Deviation: 15.698635816903144, Min: 1029, Max: 1147, Percentile: [1076. 1086. 1100.] 
Band:103, Mean: 1036.2040903686088, Median: 1035.0, Std Deviation: 10.49889241251544, Min: 1001, Max: 1072, Percentile: [1029. 1035. 1044.] 
Band:104, Mean: 1055.5565279429252, Median: 1054.0, Std Deviation: 18.632950071657508, Min: 1008, Max: 1117, Percentile: [1040. 1054. 1072.] 
Band:105, Mean: 1078.7982877526754, Median: 1075.0, Std Deviation: 30.64353104147901, Min: 1017, Max: 1159, Percentile: [1050. 1075. 1107.] 
Band:106, Mean: 1095.2355291319857, Median: 1091.0, Std Deviation: 38.05966506816, Min: 1022, Max: 1217, Percentile: [1059. 1091. 1131.] 
Band:107, Mean: 1181.1726040428061, Median: 1168.0, Std Deviation: 83.40620159605344, Min: 1034, Max: 1412, Percentile: [1100. 1168. 1261.] 
Band:108, Mean: 1246.2611652794292, Median: 1229.0, Std Deviation: 117.57043861134989, Min: 1034, Max: 1588, Percentile: [1131. 1229. 1360.] 
Band:109, Mean: 1193.384780023781, Median: 1182.0, Std Deviation: 86.41931047955977, Min: 1043, Max: 1435, Percentile: [1109. 1182. 1276.] 
Band:110, Mean: 1269.1300356718193, Median: 1254.0, Std Deviation: 122.28596618549591, Min: 1051, Max: 1619, Percentile: [1149. 1254. 1387.] 
Band:111, Mean: 1459.318810939358, Median: 1430.0, Std Deviation: 206.31959416180106, Min: 1095, Max: 2039, Percentile: [1259. 1430. 1658.] 
Band:112, Mean: 1634.688275862069, Median: 1597.0, Std Deviation: 280.77889295347813, Min: 1103, Max: 2430, Percentile: [1363. 1597. 1905.] 
Band:113, Mean: 1762.974744351962, Median: 1717.0, Std Deviation: 325.1190875635892, Min: 1130, Max: 2694, Percentile: [1449. 1717. 2075.] 
Band:114, Mean: 1860.2760047562426, Median: 1812.0, Std Deviation: 353.25732283994165, Min: 1147, Max: 2882, Percentile: [1520. 1812. 2200.] 
Band:115, Mean: 1913.7631866825209, Median: 1865.0, Std Deviation: 363.10009717198045, Min: 1162, Max: 2973, Percentile: [1564. 1865. 2262.] 
Band:116, Mean: 1949.2445659928655, Median: 1900.0, Std Deviation: 364.6474931573685, Min: 1162, Max: 3028, Percentile: [1598. 1900. 2299.] 
Band:117, Mean: 1966.156242568371, Median: 1920.0, Std Deviation: 358.6624694325582, Min: 1157, Max: 3055, Percentile: [1623. 1920. 2310.] 
Band:118, Mean: 1963.507348394768, Median: 1919.0, Std Deviation: 345.5079696680616, Min: 1173, Max: 3015, Percentile: [1634. 1919. 2294.] 
Band:119, Mean: 1883.6406658739595, Median: 1846.0, Std Deviation: 309.0249764392682, Min: 1148, Max: 2844, Percentile: [1589. 1846. 2178.] 
Band:120, Mean: 1899.1507253269917, Median: 1863.0, Std Deviation: 305.3543388655873, Min: 1152, Max: 2880, Percentile: [1610. 1863. 2189.] 
Band:121, Mean: 1933.8358620689655, Median: 1897.0, Std Deviation: 309.359135240833, Min: 1165, Max: 2940, Percentile: [1643. 1897. 2228.] 
Band:122, Mean: 1906.5784066587396, Median: 1873.0, Std Deviation: 291.92927205221014, Min: 1151, Max: 2874, Percentile: [1633. 1873. 2185.] 
Band:123, Mean: 1903.9270392390013, Median: 1873.0, Std Deviation: 285.2484603668354, Min: 1160, Max: 2872, Percentile: [1637. 1873. 2176.] 
Band:124, Mean: 1952.779548156956, Median: 1923.0, Std Deviation: 294.67796140405756, Min: 1168, Max: 2962, Percentile: [1677. 1923. 2234.] 
Band:125, Mean: 1954.6243995243758, Median: 1926.0, Std Deviation: 290.4385627120679, Min: 1162, Max: 2970, Percentile: [1684. 1926. 2232.] 
Band:126, Mean: 1910.3568608799048, Median: 1885.0, Std Deviation: 273.3338637433381, Min: 1157, Max: 2881, Percentile: [1656. 1885. 2171.] 
Band:127, Mean: 1895.5222354340071, Median: 1873.0, Std Deviation: 266.9730007106322, Min: 1147, Max: 2878, Percentile: [1648. 1873. 2150.] 
Band:128, Mean: 1893.3691319857312, Median: 1872.0, Std Deviation: 265.6110566161536, Min: 1155, Max: 2880, Percentile: [1647. 1872. 2146.] 
Band:129, Mean: 1859.998668252081, Median: 1838.0, Std Deviation: 255.81430021254164, Min: 1151, Max: 2835, Percentile: [1624. 1838. 2103.] 
Band:130, Mean: 1843.8492746730083, Median: 1820.0, Std Deviation: 251.98572627709103, Min: 1147, Max: 2816, Percentile: [1611. 1820. 2084.] 
Band:131, Mean: 1809.0109393579073, Median: 1784.0, Std Deviation: 245.77339983371658, Min: 1129, Max: 2772, Percentile: [1581. 1784. 2042.] 
Band:132, Mean: 1771.472342449465, Median: 1747.0, Std Deviation: 238.51635671740087, Min: 1134, Max: 2727, Percentile: [1550. 1747. 1999.] 
Band:133, Mean: 1728.0511771700358, Median: 1704.0, Std Deviation: 230.4070127637588, Min: 1122, Max: 2656, Percentile: [1513. 1704. 1949.] 
Band:134, Mean: 1696.0602615933412, Median: 1671.0, Std Deviation: 224.13507294183708, Min: 1120, Max: 2620, Percentile: [1488. 1671. 1910.] 
Band:135, Mean: 1635.2681093935792, Median: 1610.0, Std Deviation: 209.4657898809081, Min: 1111, Max: 2521, Percentile: [1440. 1610. 1837.] 
Band:136, Mean: 1591.510059453032, Median: 1567.0, Std Deviation: 198.38836222177468, Min: 1088, Max: 2425, Percentile: [1405. 1567. 1783.] 
Band:137, Mean: 1563.1429250891795, Median: 1539.0, Std Deviation: 194.3393261146032, Min: 1092, Max: 2385, Percentile: [1381. 1539. 1752.] 
Band:138, Mean: 1518.3036860879904, Median: 1494.0, Std Deviation: 183.74155710686043, Min: 1089, Max: 2302, Percentile: [1345. 1494. 1697.] 
Band:139, Mean: 1432.6351961950058, Median: 1412.0, Std Deviation: 154.73533231174895, Min: 1072, Max: 2106, Percentile: [1287. 1412. 1581.] 
Band:140, Mean: 1321.4123662306777, Median: 1307.0, Std Deviation: 117.70240568346777, Min: 955, Max: 1839, Percentile: [1208. 1307. 1434.] 
Band:141, Mean: 1230.8047562425684, Median: 1220.0, Std Deviation: 83.14187050675196, Min: 1036, Max: 1603, Percentile: [1153. 1220. 1312.] 
Band:142, Mean: 1107.6960285374555, Median: 1103.0, Std Deviation: 38.65051085022975, Min: 1024, Max: 1286, Percentile: [1072. 1103. 1144.] 
Band:143, Mean: 1038.698501783591, Median: 1038.0, Std Deviation: 12.085832160664484, Min: 1002, Max: 1089, Percentile: [1030. 1038. 1048.] 
Band:144, Mean: 1018.6782877526754, Median: 1019.0, Std Deviation: 11.088119507583944, Min: 987, Max: 1072, Percentile: [1010. 1019. 1027.] 
Band:145, Mean: 1027.7508680142687, Median: 1025.0, Std Deviation: 17.02085039696459, Min: 989, Max: 1087, Percentile: [1013. 1025. 1044.] 
Band:146, Mean: 1066.212318668252, Median: 1058.0, Std Deviation: 42.699774974255746, Min: 997, Max: 1256, Percentile: [1025. 1058. 1108.] 
Band:147, Mean: 1138.4971700356718, Median: 1121.0, Std Deviation: 90.35777008680039, Min: 1003, Max: 1506, Percentile: [1050. 1121. 1229.] 
Band:148, Mean: 1189.5805469678953, Median: 1167.0, Std Deviation: 124.03971705687105, Min: 1016, Max: 1677, Percentile: [1068. 1167. 1314.] 
Band:149, Mean: 1155.8301070154578, Median: 1138.0, Std Deviation: 101.13860449644903, Min: 1008, Max: 1545, Percentile: [1056. 1138. 1257.] 
Band:150, Mean: 1063.9367895362664, Median: 1058.0, Std Deviation: 39.10069624402912, Min: 995, Max: 1215, Percentile: [1027. 1058. 1102.] 
Band:151, Mean: 1067.0360998810938, Median: 1060.0, Std Deviation: 40.765211906632345, Min: 1000, Max: 1232, Percentile: [1028. 1060. 1107.] 
Band:152, Mean: 1144.6913198573127, Median: 1130.0, Std Deviation: 87.95922811453782, Min: 1011, Max: 1496, Percentile: [1059. 1130. 1233.] 
Band:153, Mean: 1221.6176456599287, Median: 1199.0, Std Deviation: 135.15536790013797, Min: 1026, Max: 1746, Percentile: [1089. 1199. 1356.] 
Band:154, Mean: 1214.8370511296075, Median: 1192.0, Std Deviation: 128.29713204026964, Min: 1021, Max: 1709, Percentile: [1089. 1192. 1343.] 
Band:155, Mean: 1163.910820451843, Median: 1147.0, Std Deviation: 98.12403124196773, Min: 1015, Max: 1535, Percentile: [1069. 1147. 1261.] 
Band:156, Mean: 1163.6814744351962, Median: 1147.0, Std Deviation: 95.99108852670572, Min: 1017, Max: 1536, Percentile: [1071. 1147. 1259.] 
Band:157, Mean: 1195.36451843044, Median: 1175.0, Std Deviation: 113.89234509039757, Min: 1021, Max: 1641, Percentile: [1085. 1175. 1309.] 
Band:158, Mean: 1236.6287752675387, Median: 1212.0, Std Deviation: 136.67355199187853, Min: 1028, Max: 1767, Percentile: [1105. 1212. 1373.] 
Band:159, Mean: 1248.499120095125, Median: 1222.0, Std Deviation: 142.79391971283184, Min: 1024, Max: 1806, Percentile: [1111. 1222. 1390.] 
Band:160, Mean: 1254.9957193816886, Median: 1229.0, Std Deviation: 143.8874050514818, Min: 1026, Max: 1816, Percentile: [1116. 1229. 1398.] 
Band:161, Mean: 1253.893697978597, Median: 1228.0, Std Deviation: 141.26078621638916, Min: 1024, Max: 1806, Percentile: [1117. 1228. 1394.] 
Band:162, Mean: 1253.598953626635, Median: 1228.0, Std Deviation: 139.61965599927026, Min: 1029, Max: 1799, Percentile: [1119. 1228. 1393.] 
Band:163, Mean: 1254.3747919143877, Median: 1229.0, Std Deviation: 139.3422777740265, Min: 1027, Max: 1784, Percentile: [1120. 1229. 1393.] 
Band:164, Mean: 1249.0889892984542, Median: 1225.0, Std Deviation: 135.4866176684272, Min: 1019, Max: 1761, Percentile: [1118. 1225. 1384.] 
Band:165, Mean: 1234.321950059453, Median: 1212.0, Std Deviation: 126.1208875422206, Min: 1023, Max: 1724, Percentile: [1113. 1212. 1360.] 
Band:166, Mean: 1228.0689655172414, Median: 1207.0, Std Deviation: 121.21736767444474, Min: 1024, Max: 1710, Percentile: [1112. 1207. 1349.] 
Band:167, Mean: 1226.6391914387634, Median: 1207.0, Std Deviation: 118.64905172285481, Min: 1023, Max: 1690, Percentile: [1112. 1207. 1345.] 
Band:168, Mean: 1223.0881807372175, Median: 1204.0, Std Deviation: 116.21036657316078, Min: 1032, Max: 1680, Percentile: [1111. 1204. 1338.] 
Band:169, Mean: 1217.2728180737217, Median: 1200.0, Std Deviation: 110.92463598656914, Min: 1022, Max: 1662, Percentile: [1110. 1200. 1328.] 
Band:170, Mean: 1211.4624970273485, Median: 1194.0, Std Deviation: 107.74003429864545, Min: 1018, Max: 1651, Percentile: [1108. 1194. 1319.] 
Band:171, Mean: 1222.9726991676575, Median: 1205.0, Std Deviation: 112.15327679053699, Min: 1027, Max: 1689, Percentile: [1115. 1205. 1335.] 
Band:172, Mean: 1221.6115101070154, Median: 1202.0, Std Deviation: 113.40179800786915, Min: 1028, Max: 1691, Percentile: [1112. 1202. 1334.] 
Band:173, Mean: 1211.5833531510107, Median: 1192.0, Std Deviation: 108.79737489261638, Min: 1020, Max: 1653, Percentile: [1107. 1192. 1319.] 
Band:174, Mean: 1199.5338406658739, Median: 1180.0, Std Deviation: 104.09158598162303, Min: 1021, Max: 1648, Percentile: [1100. 1180. 1303.] 
Band:175, Mean: 1184.8043281807372, Median: 1165.0, Std Deviation: 96.95618952686246, Min: 1027, Max: 1601, Percentile: [1092. 1165. 1281.] 
Band:176, Mean: 1174.7287039239002, Median: 1154.0, Std Deviation: 94.96448413711512, Min: 1022, Max: 1586, Percentile: [1084. 1154. 1269.] 
Band:177, Mean: 1166.3051605231867, Median: 1144.0, Std Deviation: 92.16518492495571, Min: 1015, Max: 1577, Percentile: [1079. 1144. 1258.] 
Band:178, Mean: 1161.8209750297265, Median: 1141.0, Std Deviation: 90.48591146473257, Min: 1015, Max: 1565, Percentile: [1076. 1141. 1252.] 
